Mould Code,Mould Name,ItemNo,Description
,,SFBRL50LT008,BARREL 50LT TOP NEW  - YELLOW
,,SFBRL50LT016,BARREL 50LT TOP NEW  - BROWN
,,SFBRL50LT026,BARREL 50LT TOP NEW  - DARK GREEN
,,SFBRL50LT027,BARRELˇ50LTˇTOPˇNEWˇˇ- BLACK
,,SFBRL50LT028,BARREL 50LT TOP NEW(RECYCLE)-BLACK
.,,,
BARL65LTBT00,BARREL 65LT BOTTOM 2012,SFBRL65LB005,BARREL 65LT BOTTOM SUP2012-RED
,,SFBRL65LB006,BARREL 65LT BOTTOM SUP2012-BLU
,,SFBRL65LB009,BARREL 65LT BOTTOM SUP2012-ORANGE
,,SFBRL65LB010,BARREL 65LT BOTTOM SUP2012-YELLOW
,,SFBRL65LB020,BARREL 65LT BOTTOM SUP2012-BROWN
,,SFBRL65LB021,BARREL 65LT BOTTOM SUP2012-DARK GREEN
,,SFBRL65LB022,BARRELˇ65LTˇBOTTOMˇSUP2012- BLACK
.,,,
BARL65LTTP00,BARREL 65LT TOP 2012,SFBRL65LT005,BARREL 65LT TOP SUP 2012 ? RED
,,SFBRL65LT006,BARREL 65LT TOP SUP2012 ? BLUE
,,SFBRL65LT009,BARREL 65LT TOP SUP 2012 ? ORANGE
,,SFBRL65LT010,BARREL 65LT TOP SUP2012 ? YELLOW
,,SFBRL65LT020,BARREL 65LT TOP SUP2012 ? BROWN
,,SFBRL65LT021,BARREL 65LT TOP SUP2012 ? DARK GREEN
,,SFBRL65LT022,BARRELˇ65LTˇTOPˇSUPˇ2012ˇ?ˇBLACK
.,,,
BASN06150000,BASIN 615,FGBAS0615003,BASIN 615 - BLUE
,,FGBAS0615013,BASIN 615  - D.GREEN NEW (6 SET)
,,FGBAS0615015,BASIN 615  - MARBLE GREY KEELLS (6 SET)
,,FGBAS0615016,BASIN 615 PHX 01 - D.GREEN NEW
,,FGBAS0615017,BASIN 615 - PHX 01 - D.GREEN NEW
,,FGBAS0615018,BASIN 615 - PHX 01 - LT.GREEN NEW
.,,,
BASN11200000,BASIN 1120,FGBAS1120018,BASIN 1120 SUPERIOR - ORANGE
,,FGBAS1120023,BASIN 1120 SUPERIOR - LT.GREEN NEW
,,FGBAS1120026,BASIN 1120 SUPERIOR PHX 01 - D. GREEN NEW
,,FGBAS1120027,BASIN 1120 SUPERIOR - PHX 02- D. GREEN NEW
,,FGBAS1120028,BASIN 1120 SUPERIOR - PHX 01 - LT.GREEN NEW
.,,,
BASN15LT0000,BASIN 15LT,FGBAS15LT003,BASIN 15LT - RED
,,FGBAS15LT013,BASIN 15LT - (EC) LIGHT GREEN
.,,,
BASN18LT0000,BASIN 18LT,FGBAS18LT004,BASIN 18LT SUPERIOR-RED
,,FGBAS18LT006,BASIN 18LT SUPERIOR-ORANGE
,,FGBAS18LT008,BASIN 18LT SUPERIOR-BLUE
,,FGBAS18LT010,BASIN 18LT SUPERIOR - MARBLE GREY (6 SET)
,,FGBAS18LT015,BASIN 18LT SUPERIOR - LT.GREEN NEW
,,FGBAS18LT016,BASIN 18LT SUPERIOR - MARBLE GREY
,,FGBAS18LT018,BASIN 18LT SUPERIOR  - D. GREEN NEW (6 SET)
,,FGBAS18LT019,BASIN 18LT SUPERIOR - PHX 01 - D. GREEN NEW
,,FGBAS18LT020,BASIN 18LT SUPERIOR - PHX 01 - LT.GREEN NEW
,,FGBAS18LT021,BASIN 18LT SUPERIOR-RECYCLE BLACKˇ
.,,,
